Country,Euro_Maturities,Euro_Values,Austria_Maturities,Austria_Values,Belgium_Maturities,Belgium_Values,Bulgaria_Maturities,Bulgaria_Values,Croatia_Maturities,Croatia_Values,Cyprus_Maturities,Cyprus_Values,Czech Republic_Maturities,Czech Republic_Values,Denmark_Maturities,Denmark_Values,Estonia_Maturities,Estonia_Values,Finland_Maturities,Finland_Values,France_Maturities,France_Values,Germany_Maturities,Germany_Values,Greece_Maturities,Greece_Values,Hungary_Maturities,Hungary_Values,Iceland_Maturities,Iceland_Values,Ireland_Maturities,Ireland_Values,Italy_Maturities,Italy_Values,Latvia_Maturities,Latvia_Values,Liechtenstein_Maturities,Liechtenstein_Values,Lithuania_Maturities,Lithuania_Values,Luxembourg_Maturities,Luxembourg_Values,Malta_Maturities,Malta_Values,Netherlands_Maturities,Netherlands_Values,Norway_Maturities,Norway_Values,Poland_Maturities,Poland_Values,Portugal_Maturities,Portugal_Values,Romania_Maturities,Romania_Values,Russia_Maturities,Russia_Values,Slovakia_Maturities,Slovakia_Values,Slovenia_Maturities,Slovenia_Values,Spain_Maturities,Spain_Values,Sweden_Maturities,Sweden_Values,Switzerland_Maturities,Switzerland_Values,United Kingdom_Maturities,United Kingdom_Values,Australia_Maturities,Australia_Values,Brazil_Maturities,Brazil_Values,Canada_Maturities,Canada_Values,Chile_Maturities,Chile_Values,China_Maturities,China_Values,Colombia_Maturities,Colombia_Values,Hong Kong_Maturities,Hong Kong_Values,India_Maturities,India_Values,Japan_Maturities,Japan_Values,Malaysia_Maturities,Malaysia_Values,Mexico_Maturities,Mexico_Values,New Zealand_Maturities,New Zealand_Values,Singapore_Maturities,Singapore_Values,South Africa_Maturities,South Africa_Values,South Korea_Maturities,South Korea_Values,Taiwan_Maturities,Taiwan_Values,Thailand_Maturities,Thailand_Values,Turkey_Maturities,Turkey_Values,United States_Maturities,United States_Values
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0.005483543,24,0.003804155,,,24,0.001200161,,,,,,,12,-0.001360499,,,,,,,3.692307692,0.008573092,,,,,12,-0.006604077,12,0.002351015,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.005300669,24.5,0.003740184,,,24.5,0.001179979,,,,,,,12.25,-0.001349012,,,,,,,3.769230769,0.008544428,,,,,12.25,-0.006516269,12.25,0.002331164,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0.176807431,25,-0.122626197,,,25,0.001160137,,,,,,,12.5,-0.001337621,,,,,,,3.846153846,0.00851586,,,,,12.5,-0.006429629,12.5,0.00231148,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,0.005871638,,,25.5,0.001140628,,,,,,,12.75,-0.001326326,,,,,,,3.923076923,0.008487387,,,,,12.75,-0.006344141,12.75,0.002291963,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.0057729,,,26,0.001121447,,,,,,,13,-0.001315127,,,,,,,4,1.416231971,,,,,13,-0.006259789,13,0.00227261,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0.005675822,,,26.5,0.001102588,,,,,,,13.25,-0.001304023,,,,,,,4.076923077,-0.000915852,,,,,13.25,-0.006176559,13.25,0.002253421,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.005580377,,,27,0.001084047,,,,,,,13.5,-0.001293012,,,,,,,4.153846154,-0.00091279,,,,,13.5,-0.006094435,13.5,0.002234393,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,0.005486536,,,27.5,0.001065818,,,,,,,13.75,-0.001282094,,,,,,,4.230769231,-0.000909738,,,,,13.75,-0.006013403,13.75,0.002215527,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.005394274,,,28,0.001047895,,,,,,,14,-0.001271269,,,,,,,4.307692308,-0.000906696,,,,,14,-0.005933449,14,0.00219682,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,0.005303564,,,28.5,0.001030273,,,,,,,14.25,-0.001260534,,,,,,,4.384615385,-0.000903665,,,,,14.25,-0.005854558,14.25,0.00217827,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.005214378,,,29,0.001012948,,,,,,,14.5,-0.001249891,,,,,,,4.461538462,-0.000900643,,,,,14.5,-0.005776716,14.5,0.002159878,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,0.005126693,,,29.5,0.000995914,,,,,,,14.75,-0.001239337,,,,,,,4.538461538,-0.000897632,,,,,14.75,-0.005699908,14.75,0.00214164,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.291834786,,,30,0.064355649,,,,,,,15,-0.144537614,,,,,,,4.615384615,-0.000894631,,,,,15,-0.247782244,15,0.002123557,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.692307692,-0.000891639,,,,,,,15.25,0.002105626,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.769230769,-0.000888658,,,,,,,15.5,0.002087847,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.846153846,-0.000885687,,,,,,,15.75,0.002070218,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.923076923,-0.000882726,,,,,,,16,0.002052737,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.623810016,,,,,,,16.25,0.002035405,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.076923077,-0.004926135,,,,,,,16.5,0.002018218,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.153846154,-0.004909664,,,,,,,16.75,0.002001177,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.230769231,-0.004893249,,,,,,,17,0.00198428,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.307692308,-0.004876888,,,,,,,17.25,0.001967525,,,,,,,,
